Player,Squad,90s,Goals,Shots attempted,Shots on Target attempted,Shots on Target percentage,Goals per Shot,Goals per Shot on Target,Average shot distance,Shots from Free kicks,Penalties scored,Penalties attempted,Expected Goals,Non-penalty xG,npxG per Shot,Goals overperformance,xG overperformance
Lara Kirkby,Adelaide Utd,0.5,0,2,0,0,0,0,8.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Greta Kraszula,Central Coast Mariners,3.7,0,0.54,0,0,0,0,19.2,0,0,0,0.03,0.03,0.04,-0.03,-0.03
Zara Kruger,Brisbane Roar,11.8,0.08,1.1,0.17,15.4,0.08,0.5,25.8,0,0,0,0.04,0.04,0.04,0.04,0.04
Danielle Krzyzaniak,Newcastle Jets,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace Kuilamu,Brisbane Roar,9.6,0.52,3.02,1.35,44.8,0.17,0.38,11.8,0,0,0,0.55,0.55,0.18,-0.03,-0.03
Rebecca Lake,Wellington Phoenix,1.9,0,1.05,0.53,50,0,0,10.2,0,0,0,0.11,0.11,0.1,-0.11,-0.11
Tanika Lala,Perth Glory,2.2,0,0.45,0.45,100,0,0,17.5,0,0,0,0.05,0.05,0.13,-0.05,-0.05
Sarah Langman,Central Coast Mariners,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbey Lemon,Sydney FC,13.1,0,0.76,0.23,30,0,0,22.6,0,0,0,0.06,0.06,0.08,-0.06,-0.06
Tamar Levin,Brisbane Roar,5.6,0.36,2.68,1.25,46.7,0.13,0.29,18.3,0.18,0,0,0.27,0.27,0.1,0.09,0.09
Chloe Lincoln,Western United,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ella Lincoln,Perth Glory,1.7,0.59,2.94,2.35,80,0.2,0.25,12.7,0,0,0,0.18,0.18,0.06,0.41,0.41
Maya Lobo,W Sydney,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloe Logarzo,Western United,19.5,0.36,3.33,1.08,32.3,0.06,0.19,23.2,0.05,0.15,0.26,0.46,0.28,0.08,-0.1,-0.07
Annalie Longo,Wellington Phoenix,21.7,0.14,1.71,0.6,35.1,0.08,0.23,20.3,0.05,0,0,0.15,0.15,0.09,-0.01,-0.01
Rachel Lowe,Melb Victory,22.3,0.09,1.35,0.4,30,0.07,0.22,16.8,0,0,0.04,0.2,0.16,0.12,-0.11,-0.07
Hana Lowry,Sydney FC,3.5,0,1.14,0,0,0,0,16.9,0.29,0,0,0.17,0.17,0.15,-0.17,-0.17
Amber Luchtmeijer,Sydney FC,3.2,0.31,2.5,1.25,50,0.13,0.25,16.2,0,0,0,0.22,0.22,0.09,0.09,0.09
Grace Maher,Western United,22.7,0.18,0.79,0.44,55.6,0.22,0.4,24.3,0.4,0,0,0.04,0.04,0.04,0.14,0.14
Emma Main,Wellington Phoenix,12.6,0.24,2.86,1.35,47.2,0.06,0.12,17.5,0.08,0.08,0.08,0.42,0.37,0.13,-0.18,-0.21
Coco Majstorovic,Canberra Utd,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darcey Malone,Canberra Utd,18.1,0.11,0.39,0.17,42.9,0.29,0.67,13.9,0,0,0,0.04,0.04,0.09,0.07,0.07
Maja Markovski,Canberra Utd,16.9,0.18,1.36,0.71,52.2,0.13,0.25,20,0,0,0,0.14,0.14,0.1,0.04,0.04
Lucía Marte,Adelaide Utd,20.6,0.24,0.78,0.29,37.5,0.31,0.83,10.8,0,0,0,0.1,0.1,0.13,0.14,0.14
Annabel Martin,Central Coast Mariners,22.9,0,0.57,0.13,23.1,0,0,24.1,0.13,0,0,0.06,0.06,0.11,-0.06,-0.06
Bethany Mason-Jones,Sydney FC,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danika Matos,W Sydney,23,0.04,0.96,0.35,36.4,0.05,0.13,21.6,0,0,0,0.04,0.04,0.04,0,0
Madison McComasky,W Sydney,11.2,0.09,0.71,0.18,25,0.13,0.5,13.1,0,0,0,0.12,0.12,0.16,-0.03,-0.03
Maya McCutcheon,Wellington Phoenix,22.6,0.09,1.64,0.53,32.4,0.05,0.17,20.8,0,0,0,0.11,0.11,0.06,-0.02,-0.02
Leticia McKenna,Melb City,18.3,0.27,2.57,0.77,29.8,0.11,0.36,21.2,0.22,0,0,0.25,0.25,0.1,0.03,0.03
Tijan McKenna,Perth Glory,18.7,0.11,1.12,0.32,28.6,0.1,0.33,24.3,0,0,0,0.05,0.05,0.05,0.05,0.05
Alex McKenzie,Canberra Utd,11.6,0,0.09,0.09,100,0,0,15.5,0,0,0,0.01,0.01,0.05,-0.01,-0.01
Lily McMahon,Central Coast Mariners,0.6,0,1.67,0,0,0,0,8.8,0,0,0,0.17,0.17,0.08,-0.17,-0.17
Shelby McMahon,Melb City,4.3,0,0.47,0.23,50,0,0,6.7,0,0,0,0.14,0.14,0.3,-0.14,-0.14
Zoe McMeeken,Wellington Phoenix,9.6,0.1,1.98,0.63,31.6,0.05,0.17,20.4,0,0,0,0.11,0.11,0.06,-0.01,-0.01
Ella McMillan,Wellington Phoenix,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holly McNamara,Melb City,9.6,1.56,4.48,2.5,55.8,0.35,0.63,13.5,0,0,0.1,1.01,0.93,0.21,0.55,0.64
Matilda McNamara,Adelaide Utd,21.4,0,0.98,0.19,19,0,0,8.7,0,0,0,0.14,0.14,0.15,-0.14,-0.14
Holly McQueen,Brisbane Roar,21.3,0,0.09,0,0,0,0,15.1,0,0,0,0.01,0.01,0.1,-0.01,-0.01
Aimee Medwin,Western United,15.4,0.13,1.95,0.45,23.3,0.07,0.29,17.7,0,0,0,0.17,0.17,0.09,-0.04,-0.04
Ilona Melegh,Adelaide Utd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiera Meyers,Melb City,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abby Middleton,Adelaide Utd,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malena Mieres,Melb City,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudia Mihocic,Western United,10.2,0,0.1,0.1,100,0,0,22.7,0,0,0,0,0,0.03,0,0
Tianah Miro,Canberra Utd,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah Morgan,Adelaide Utd,19.2,0.05,0.47,0.16,33.3,0.11,0.33,28.3,0,0,0,0.02,0.02,0.03,0.04,0.04
Tanaye Morris,Brisbane Roar,2.1,0,2.38,0.48,20,0,0,14.1,0,0,0,0.29,0.29,0.11,-0.29,-0.29
Kayla Morrison,Melb Victory,23,0.17,0.48,0.26,54.5,0.36,0.67,11.1,0,0,0,0.09,0.09,0.18,0.09,0.09
Meleri Mullan,Adelaide Utd,2.6,0,1.15,0,0,0,0,15.7,0,0,0,0.04,0.04,0.04,-0.04,-0.04
Alana Murphy,Melb Victory,19.2,0.05,0.83,0.16,18.8,0.06,0.33,27.9,0,0,0,0.02,0.02,0.03,0.03,0.03
Emilia Murray,Melb City,0.8,0,1.25,0,0,0,0,25.8,0,0,0,0,0,0.02,0,0
Holly Murray,Canberra Utd,6.9,0,0.14,0,0,0,0,26.3,0,0,0,0,0,0.03,0,0
Jessika Nash,Central Coast Mariners,23,0.04,0.26,0.04,16.7,0.17,1,18.7,0,0,0,0.02,0.02,0.07,0.03,0.03
Ruby Nathan,Canberra Utd,4.6,0.22,2.17,1.74,80,0.1,0.13,13.6,0,0,0,0.43,0.43,0.21,-0.22,-0.22
Brooke Neary,Wellington Phoenix,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Newbon,Melb Victory,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooke Nunn,Central Coast Mariners,19.1,0.1,1.68,0.79,46.9,0.06,0.13,21.7,0,0,0,0.14,0.14,0.08,-0.03,-0.03
Sarah O'Donoghue,Perth Glory,10.8,0.28,2.78,1.02,36.7,0.1,0.27,19.5,0.28,0,0,0.24,0.24,0.09,0.04,0.04
Ella O'Grady,Melb Victory,4.3,0.23,1.16,0.23,20,0.2,1,13.9,0,0,0,0.09,0.09,0.07,0.14,0.14
Taylor Otto,Melb City,23,0.13,0.35,0.13,37.5,0.38,1,5.7,0,0,0,0.1,0.1,0.27,0.03,0.03
Hollie Palmer,Perth Glory,2.7,0,1.48,0,0,0,0,30.2,0,0,0,0.04,0.04,0.03,-0.04,-0.04
Chrissy Panagaris,Adelaide Utd,0.8,0,6.25,0,0,0,0,19.8,0,0,0,0.87,0.87,0.13,-0.87,-0.87
Jade Pennock,Central Coast Mariners,22,0.23,3.14,1.05,33.3,0.06,0.17,17.8,0,0.05,0.09,0.37,0.31,0.1,-0.15,-0.13
Susan Phonsongkham,Perth Glory,3.1,0.65,2.26,1.29,57.1,0,0,26.1,0.32,0.65,0.65,0.84,0.35,0.16,-0.19,-0.35
Laura Pickett,Melb Victory,11.5,0,0.35,0.17,50,0,0,22.6,0,0,0,0.01,0.01,0.03,-0.01,-0.01
Rhianna Pollicina,Melb City,10.8,0.37,3.06,1.11,36.4,0.12,0.33,19.5,0,0,0.09,0.36,0.3,0.1,0.01,0.07
Evdokiya Popadinova,Brisbane Roar,11.8,0.08,1.36,0.51,37.5,0.06,0.17,14.5,0,0,0,0.16,0.16,0.12,-0.08,-0.08
Avaani Prakash,Western United,1.8,0,2.78,1.11,40,0,0,21.1,0,0,0,0.17,0.17,0.06,-0.17,-0.17
Olivia Price,W Sydney,14.5,0.14,0.9,0.34,38.5,0.15,0.4,16.5,0,0,0,0.12,0.12,0.13,0.02,0.02
Emily Pringle,Brisbane Roar,16.2,0.12,2.04,0.68,33.3,0.06,0.18,18.8,0,0,0,0.19,0.19,0.1,-0.07,-0.07
Natasha Prior,Newcastle Jets,14.2,0.07,0.92,0.21,23.1,0.08,0.33,10.8,0,0,0,0.08,0.08,0.08,-0.01,-0.01
Leia Puxty,Central Coast Mariners,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tess Quilligan,Central Coast Mariners,9.9,0.1,0.71,0.1,14.3,0.14,1,24.6,0,0,0,0.02,0.02,0.03,0.08,0.08
Annalise Rasmussen,Central Coast Mariners,15.9,0.38,2.64,1.01,38.1,0.12,0.31,16.5,0.13,0.06,0.06,0.44,0.39,0.15,-0.06,-0.08
Taylor Ray,Central Coast Mariners,23,0,0.13,0,0,0,0,31.7,0.04,0,0,0,0,0.03,0,0
Keeley Richards,Brisbane Roar,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brianne Riley,Central Coast Mariners,4.8,0,0.42,0,0,0,0,6.5,0,0,0,0.06,0.06,0.13,-0.06,-0.06
Emily Roach,Western United,5.3,0,0.94,0.38,40,0,0,20.7,0,0,0,0.06,0.06,0.06,-0.06,-0.06
Emma Robers,Canberra Utd,21.1,0.05,0.57,0.19,33.3,0.08,0.25,20.8,0,0,0,0.04,0.04,0.07,0,0
Morgan Roberts,Perth Glory,1.6,0,1.25,0.63,50,0,0,18.6,0,0,0,0.06,0.06,0.07,-0.06,-0.06
Tiahna Robertson,Newcastle Jets,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karly Roestbakken,Melb City,16.8,0,0.6,0.18,30,0,0,23.9,0,0,0,0.02,0.02,0.03,-0.02,-0.02
Isabel Rolley,Newcastle Jets,0.5,0,2,2,100,0,0,27.7,0,0,0,0,0,0.03,0,0
Sarah Rowe,Central Coast Mariners,13.5,0,0.22,0.15,66.7,0,0,25.5,0,0,0,0.01,0.01,0.05,-0.01,-0.01
Cushla Rue,W Sydney,19.7,0.05,0.51,0.1,20,0.1,0.5,14.6,0,0,0,0.08,0.08,0.15,-0.03,-0.03
Sofia Sakalis,Melb Victory,2.2,0,0.45,0.45,100,0,0,24.5,0,0,0,0,0,0.02,0,0
Julia Sardo,Western United,16.1,0,0.43,0.12,28.6,0,0,27.7,0,0,0,0.01,0.01,0.03,-0.01,-0.01
Nanako Sasaki,Adelaide Utd,7.1,0,0.28,0.14,50,0,0,29.4,0,0,0,0.01,0.01,0.03,-0.01,-0.01
Sienna Saveska,W Sydney,17.2,0.41,3.14,0.93,29.6,0.13,0.44,24.7,0.17,0,0,0.23,0.23,0.07,0.18,0.18
Jessica Seaman,Central Coast Mariners,2.6,0,0.38,0,0,0,0,9.9,0,0,0,0.04,0.04,0.08,-0.04,-0.04
Keely Segavcic,W Sydney,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivia Sekany,Brisbane Roar,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lillian Skelly,Canberra Utd,1.4,0,0.71,0,0,0,0,13.3,0,0,0,0,0,0.03,0,0
Mariana Speckmaier,Melb City,18.5,0.38,2.81,0.86,30.8,0.13,0.44,14.9,0,0,0.05,0.47,0.43,0.15,-0.09,-0.05
Anika Stajcic,W Sydney,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Stanic-Floody,Canberra Utd,14.4,0.28,1.32,0.42,31.6,0.16,0.5,25.5,0.21,0.07,0.07,0.13,0.07,0.05,0.15,0.14
Rebekah Stott,Melb City,19.3,0,0.47,0.31,66.7,0,0,23.1,0,0,0,0.02,0.02,0.04,-0.02,-0.02
Rubi Sullivan,Sydney FC,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miku Sunaga,Perth Glory,7.9,0.13,1.14,0.38,33.3,0.11,0.33,14.4,0,0,0,0.13,0.13,0.12,0,0
Caley Tallon-Henniker,Sydney FC,10.2,0.1,1.37,0.59,42.9,0.07,0.17,17.3,0,0,0,0.1,0.1,0.07,0,0
Danelle Tan,Brisbane Roar,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mebae Tanaka,Wellington Phoenix,7,0.14,3.43,0.86,25,0.04,0.17,15.8,0.29,0,0,0.36,0.36,0.1,-0.21,-0.21
Adriana Taranto,Western United,11.2,0,3.04,0.98,32.4,0,0,19.4,0.27,0,0,0.18,0.18,0.06,-0.18,-0.18
Melissa Taranto,Western United,14.1,0.14,1.21,0.64,52.9,0.12,0.22,25.2,0.14,0,0,0.06,0.06,0.05,0.09,0.09
Natalie Tathem,Perth Glory,19.5,0,0.77,0.26,33.3,0,0,23.8,0,0,0,0.03,0.03,0.04,-0.03,-0.03
Hayley Taylor-Young,Canberra Utd,22.5,0,1.07,0.27,25,0,0,24.2,0,0,0,0.04,0.04,0.03,-0.04,-0.04
Miranda Templeman,Perth Glory,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naomi Thomas-Chinnama,Perth Glory,22.3,0.04,0.58,0.09,15.4,0.08,0.5,11.5,0,0,0,0.07,0.07,0.13,-0.03,-0.03
Jordan Thompson,Sydney FC,23,0,0.65,0.04,6.7,0,0,10.5,0,0,0,0.08,0.08,0.12,-0.08,-0.08
Natalie Tobin,Sydney FC,23,0.04,0.96,0.17,18.2,0.05,0.25,23,0,0,0,0.04,0.04,0.04,0,0
Zoe Tolland,Adelaide Utd,22.6,0.04,0.18,0.09,50,0.25,0.5,13,0,0,0,0.01,0.01,0.05,0.04,0.04
Ella Tonkin,Adelaide Utd,23,0.09,0.65,0.35,53.3,0.13,0.25,7.5,0,0,0,0.11,0.1,0.18,-0.02,-0.02
Bronte Trew,W Sydney,8.8,0.45,3.07,1.36,44.4,0.15,0.33,15.1,0,0,0,0.39,0.39,0.13,0.07,0.07
Peta Trimis,Central Coast Mariners,12.7,0.08,2.28,1.02,44.8,0.03,0.08,14.3,0,0,0,0.35,0.35,0.15,-0.27,-0.27
Tori Tumeth,Sydney FC,22.1,0,0.77,0.27,35.3,0,0,13.6,0,0,0,0.08,0.08,0.11,-0.08,-0.08
Claudia Valleta,Perth Glory,1.7,0,0.59,0,0,0,0,34.7,0,0,0,0,0,0.02,0,0
Leia Varley,Brisbane Roar,14.6,0.07,1.03,0.14,13.3,0.07,0.5,8.4,0,0,0,0.12,0.12,0.12,-0.05,-0.05
Giavanna Vicari,Newcastle Jets,1,0,3,2,66.7,0,0,15,1,0,0,0.8,0.8,0.26,-0.8,-0.8
Carolina Vilão,Wellington Phoenix,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyla-Jay Vlajnic,Melb City,9.1,0.11,0.88,0.44,50,0.13,0.25,21.7,0.33,0,0,0.04,0.04,0.05,0.07,0.07
Charli Wainwright,Perth Glory,9.6,0,0.52,0.21,40,0,0,32.4,0,0,0,0.01,0.01,0.02,-0.01,-0.01
Chloe Walandouw,Newcastle Jets,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Wall,Wellington Phoenix,21.1,0,0.28,0,0,0,0,21.7,0,0,0,0.01,0.01,0.05,-0.01,-0.01
Alyssa Whinham,Wellington Phoenix,15.7,0.06,2.42,0.96,39.5,0.03,0.07,20.5,0,0,0,0.22,0.22,0.09,-0.15,-0.15
Ellie Wilson,Melb Victory,10,0.1,0.5,0.1,20,0.2,1,16.4,0,0,0,0.06,0.06,0.11,0.04,0.04
Josephine Wilson,Newcastle Jets,17.4,0,0.4,0.11,28.6,0,0,11.3,0,0,0,0.03,0.03,0.09,-0.03,-0.03
Alicia Woods,Brisbane Roar,21,0.05,1.33,0.38,28.6,0.04,0.13,21.2,0,0,0,0.09,0.09,0.07,-0.04,-0.04
Fiona Worts,Adelaide Utd,14.7,0.75,6.12,2.93,47.8,0.12,0.26,16.7,0.2,0,0.07,0.69,0.65,0.11,0.05,0.1
Megan Wynne,Perth Glory,16.9,0,0.41,0.12,28.6,0,0,18,0,0,0,0.03,0.03,0.07,-0.03,-0.03
Tameka Yallop,Brisbane Roar,18.8,0.64,3.3,1.38,41.9,0.18,0.42,20,0.05,0.05,0.11,0.44,0.37,0.11,0.2,0.22
Jessica Young,Melb Victory,0.4,0,2.5,0,0,0,0,9.9,0,0,0,0.5,0.5,0.19,-0.5,-0.5
Talia Younis,W Sydney,16.5,0,2.06,0.73,35.3,0,0,20.6,0.06,0,0,0.1,0.1,0.05,-0.1,-0.1
Catherine Zimmerman,Western United,14.3,0.35,2.73,0.7,25.6,0.13,0.5,16.4,0,0,0,0.34,0.34,0.12,0.01,0.01
Salome Zogg,Perth Glory,20.6,0,0.44,0.15,33.3,0,0,7.5,0,0,0,0.07,0.07,0.19,-0.07,-0.07
Paige Zois,Melb Victory,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
